price,year,manufacturer_name,fuel,odometer,gear,country
8500,2014,dodge,gas,101000.0,automatic,US
4999,2008,chrysler,gas,166500.0,automatic,US
11950,2012,chevrolet,gas,210916.0,automatic,US
5299,2005,ford,gas,205500.0,automatic,US
10950,2004,cadillac,gas,76046.0,automatic,US
8450,2014,buick,gas,177554.0,automatic,US
8890,2011,ford,gas,181759.0,automatic,US
12590,2015,volvo,gas,99391.0,automatic,US
15890,2016,chevrolet,gas,152745.0,automatic,US
17900,2014,gmc,gas,200000.0,automatic,US
5800,2007,lexus,gas,168000.0,automatic,US
14890,2015,chevrolet,gas,167675.0,automatic,US
14890,2012,chevrolet,gas,146979.0,automatic,US
5999,2012,chevrolet,gas,158500.0,automatic,US
8599,2014,honda,gas,106500.0,automatic,US
14980,2016,nissan,gas,185193.0,automatic,US
14590,2016,ford,gas,125929.0,automatic,US
9900,2012,mini,gas,108301.0,automatic,US
10900,2012,mini,gas,92000.0,automatic,US
24880,2012,ford,diesel,252298.0,automatic,US
17695,2017,ford,hybrid,33896.0,automatic,US
34500,2019,toyota,gas,37800.0,automatic,US
9000,2004,chevrolet,gas,157000.0,automatic,US
8950,2008,infiniti,gas,159294.0,automatic,US
8950,2014,nissan,gas,121984.0,automatic,US
5950,2004,honda,gas,209166.0,automatic,US
4950,1997,chevrolet,gas,114268.0,automatic,US
8950,2009,infiniti,gas,140589.0,automatic,US
9950,2014,nissan,gas,121984.0,automatic,US
6499,2006,lexus,gas,190000.0,automatic,US
21900,2012,gmc,gas,118000.0,automatic,US
4500,1997,gmc,gas,0.0,automatic,US
14950,2016,toyota,gas,118000.0,automatic,US
8000,2005,mercedes-benz,gas,119000.0,automatic,US
8950,2005,audi,gas,70000.0,automatic,US
4000,2005,honda,gas,215290.0,automatic,US
9950,2014,ford,gas,145635.0,automatic,US
6095,2007,lexus,gas,221000.0,automatic,US
11480,2017,hyundai,gas,65955.0,automatic,US
23000,2009,bmw,gas,80000.0,automatic,US
23480,2014,gmc,gas,163665.0,automatic,US
9800,2013,chevrolet,gas,125000.0,automatic,US
10950,2004,cadillac,gas,76046.0,automatic,US
8500,2008,gmc,gas,250000.0,automatic,US
6900,2009,volkswagen,gas,89000.0,automatic,US
7800,2006,chevrolet,gas,200000.0,automatic,US
3500,2009,hyundai,gas,213159.0,automatic,US
19900,2011,cadillac,gas,133257.0,automatic,US
10880,2017,ford,gas,68004.0,automatic,US
4500,2002,ford,gas,190500.0,manual,US
8950,2009,infiniti,gas,159294.0,automatic,US
9600,2005,toyota,gas,217000.0,automatic,US
15299,2017,toyota,gas,60000.0,automatic,US
26000,1999,ford,diesel,120000.0,automatic,US
9900,2011,bmw,gas,123789.0,automatic,US
15950,2013,ford,gas,159796.0,automatic,US
11950,2014,honda,gas,141834.0,automatic,US
15900,2011,mercedes-benz,gas,63000.0,automatic,US
2999,2007,saturn,gas,202500.0,automatic,US
4299,2004,ford,gas,213500.0,automatic,US
4299,2005,honda,gas,206500.0,automatic,US
15000,2015,dodge,gas,93000.0,automatic,US
5500,2005,mercedes-benz,gas,79350.0,automatic,US
23995,2013,ford,gas,139863.0,automatic,US
35995,2017,chevrolet,gas,69815.0,automatic,US
5950,2006,toyota,gas,119817.0,automatic,US
20995,2011,rover,gas,79015.0,automatic,US
16995,2011,rover,gas,100929.0,automatic,US
8995,2010,nissan,gas,107678.0,automatic,US
8450,2014,buick,gas,177554.0,automatic,US
7950,2010,honda,gas,138896.0,automatic,US
7950,2008,chevrolet,gas,84162.0,automatic,US
17850,1992,chevrolet,gas,16003.0,manual,US
15995,1994,chevrolet,gas,34160.0,automatic,US
15995,1992,chevrolet,gas,36350.0,automatic,US
18995,1992,chevrolet,gas,17240.0,automatic,US
14888,2005,toyota,gas,147040.0,automatic,US
25777,2017,lexus,gas,71525.0,automatic,US
19565,2018,honda,gas,15545.0,automatic,US
